Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",18,87,10,20,21,2,0.126436781,0.195402298,0.493333334,0.326530612,0.346666666,0.425287356,0.84,0.5111596246799791,,237.04082791070192,0.00380162475630641,13.81340455603312,-2.01174408942461,1.529476214834391,"Shohei Ohtani",19755,660271
"Aaron Judge","NYY",16,74,6,16,11,1,0.121621621,0.27027027,0.40625,0.435897435,0.359375,0.432432432,0.765625,0.48581949387277873,,220.89039133035277,-0.5764526254497468,9.60492850148752,0.1938241943717003,1.2775064495037811,"Aaron Judge",15640,592450
"Freddie Freeman","LAD",18,79,4,15,17,0,0.075949367,0.202531645,0.281690141,0.490566037,0.422535211,0.455696202,0.704225352,0.48266202056562746,,217.4764993984227,-0.033930592238903046,10.71561369341135,-1.1712148445658386,1.2664610812052188,"Freddie Freeman",5361,518692
"Rafael Devers","BOS",17,75,5,9,20,1,0.173333333,0.186666666,0.306451613,0.465116279,0.403225806,0.506666666,0.709677419,0.5133286456804018,,234.3983712300655,-0.48719147918745875,10.984790623616723,-1.7667587846517563,1.22031162742026,"Rafael Devers",17350,646240
"Jake Meyers","HOU",18,70,3,12,11,1,0.128571428,0.071428571,0.233333333,0.384615384,0.383333333,0.463768115,0.616666666,0.4651502984157507,,207.9798942139965,-0.19607410626485944,8.406414964435836,0.6445013470947742,1.1856725381026552,"Jake Meyers",20308,676694
"Pete Crow-Armstrong","CHC",17,73,6,15,18,2,0.04109589,0.301369863,0.347826087,0.38095238,0.318840579,0.342465753,0.666666666,0.42381135976477846,,177.93242167064022,-0.03841976588591933,6.551088346329523,2.288290673866868,1.1723489138116894,"Pete Crow-Armstrong",27769,691718
"Dansby Swanson","CHC",17,69,4,14,10,3,0.115942028,0.188405797,0.233333334,0.409090909,0.366666666,0.434782608,0.6,0.43984983160215263,,188.94323965387215,0.6716483603231609,7.780083415936737,0.5103791924193501,1.1013692033802627,"Dansby Swanson",18314,621020
"José Ramírez","CLE",15,63,4,11,8,5,0.111111111,0.063492063,0.309090909,0.340425531,0.363636363,0.444444444,0.672727272,0.47250370825490645,,212.819806996685,0.07250478081550682,8.161770355124327,0.23690743884071708,1.0935056238792138,"Jose Ramirez",13510,608070
"Geraldo Perdomo","ARI",17,68,1,9,12,4,0.132352941,0.117647058,0.192982456,0.4,0.368421052,0.44117647,0.561403508,0.4281817753525341,,176.69705696724648,0.9674290562979877,7.008300273642464,0.8052700026892126,1.048160110569027,"Geraldo Perdomo",22799,672695
"Jacob Wilson","ATH",17,73,2,10,10,3,0.09589041,0.05479452,0.15625,0.362068965,0.359375,0.438356164,0.515625,0.4196347406465713,,174.90834347851296,0.45986500778235495,6.6833872379594785,0.5571204549632967,1.0069625165638145,"Jacob Wilson",33266,805779
"CJ Abrams","WSN",17,78,4,14,7,4,0.089743589,0.166666666,0.246376812,0.384615384,0.347826086,0.423076923,0.594202898,0.43936218053866655,,186.3977287201743,0.22679657209664583,8.032443328532766,-0.9686029404401779,1.004049635824391,"CJ Abrams",25768,682928
"Cody Bellinger","NYY",15,68,4,11,12,1,0.102941176,0.147058823,0.262295082,0.361702127,0.344262295,0.411764705,0.606557377,0.43787389467744264,,187.3912155693963,-0.3808878343552351,6.382431365716504,0.8053482733666897,0.9842665989340517,"Cody Bellinger",15998,641355
"Riley Greene","DET",16,68,6,10,18,1,0.073529411,0.25,0.365079365,0.375,0.333333333,0.382352941,0.698412698,0.457874579464688,,202.54670659322875,-0.31522067805053666,7.621001573662656,-0.5372901251539588,0.9734008613824264,"Riley Greene",25976,682985
"Corbin Carroll","ARI",18,83,6,15,11,4,0.108433734,0.240963855,0.315068493,0.276595744,0.260273972,0.34939759,0.575342465,0.3949825878602913,,153.90497213679274,0.9571915846318007,6.139447827745116,0.11767470836639404,0.9369047285747949,"Corbin Carroll",25878,682998
"Will Smith","LAD",16,62,1,6,9,0,0.193548387,0.129032258,0.145833333,0.425,0.375,0.5,0.520833333,0.44754726848294657,,193.36933085835466,-0.6873946773121133,6.017746108629171,0.8569231430301443,0.9296284574496496,"Will Smith",19197,669257
